종목코드,종목명,상장일,거래소,종가,시가총액
000100,유한양행,1962-11-01,KS,61100,4275347794900
007660,이수페타시스,2003-10-07,KS,3980,164660908020
093230,이아이디,2007-11-01,KS,376,313343701875
014990,인디에프,1989-06-20,KS,1580,93114132100
015860,일진홀딩스,1990-03-22,KS,6390,315330416370
317400,자이에스앤디,2019-11-06,KS,9670,374639143200
000950,전방,1968-10-21,KS,40250,67704000000
348950,제이알글로벌리츠,2020-08-07,KS,5490,909144000000
036420,제이콘텐트리,2019-10-18,KS,63200,1120193721000
029460,케이씨,1997-11-25,KS,23200,312420714200
357120,코람코에너지리츠,2020-08-31,KS,6620,459492000000
192820,코스맥스,2014-04-07,KS,122500,1390314852500
044820,코스맥스비티아이,2006-11-13,KS,16500,160865676750
021240,코웨이,2001-08-07,KS,78300,5756370282000
031820,콤텍시스템,1997-02-12,KS,950,115362047098
014580,태경비케이,1991-03-07,KS,5670,156672008000
091810,티웨이항공,2018-08-01,KS,3940,433046345075
004720,팜젠사이언스,1990-06-15,KS,12150,175819549350
028670,팬오션,2007-09-21,KS,5900,3153960120800
047050,포스코인터내셔널,2001-03-23,KS,20750,2566203099200
172580,하이골드12호,2013-07-12,KS,2710,35154927500
153360,하이골드3호,2012-05-04,KS,2320,37306014900
152550,한국ANKOR유전,2012-03-08,KS,1600,112032000000
123690,한국화장품,2010-06-01,KS,10150,163090200000
014790,한라,1994-08-12,KS,5460,205950789440
042700,한미반도체,2005-07-22,KS,31400,1553040137800
020000,한섬,1996-07-03,KS,42650,1049238000000
105630,한세실업,2009-03-20,KS,23450,942000000000
025750,한솔홈데코,2003-11-04,KS,1885,152268131610
130660,한전산업,2010-12-16,KS,16850,542790000000
000370,한화손해보험,1975-06-30,KS,4455,515986004300
009830,한화솔루션,1974-06-19,KS,37200,7105996163550
143210,핸즈코퍼레이션,2016-12-02,KS,5490,120466606680
012330,현대모비스,1989-09-05,KS,252000,23840463141000
267250,현대중공업지주,2017-05-10,KS,62200,4921269195500
241590,화승엔터프라이즈,2016-10-04,KS,17150,1038789305750
133820,화인베스틸,2014-07-22,KS,3130,93082500000
010660,화천기계,1988-12-12,KS,2645,57860000000
298020,효성티앤씨,2018-07-13,KS,605000,2613919928000
093370,후성,2006-12-22,KS,20250,1870657743800
081660,휠라홀딩스,2010-09-28,KS,38400,2329847713700
005010,휴스틸,1973-06-29,KS,13800,107375325500
056000,COWON,2003-07-11,KQ,2860,56399843500
367340,DB금융스팩8호,2020-12-09,KQ,2125,12856250000
214270,FSN,2015-03-25,KQ,987,128871161811
130500,GH신소재,2013-08-02,KQ,5160,74616116760
351340,IBKS제13호스팩,2020-07-15,KQ,2135,11012100000
095340,ISC,2007-10-01,KQ,25900,426021287000
035900,JYP Ent.,2001-08-30,KQ,53000,1881367076000
218410,RFHIC,2015-06-30,KQ,30800,822079077000
049720,고려신용정보,2002-01-31,KQ,9700,138710000000
348150,고바이오랩,2020-11-18,KQ,25500,413272198600
038530,골드퍼시픽,2000-06-09,KQ,1490,123235942920
026910,광진실업,1996-01-03,KQ,5680,36831078750
186230,그린플러스,2019-08-07,KQ,15550,168794932800
035460,기산텔레콤,1999-11-18,KQ,2945,42711606200
247660,나노씨엠에스,2021-03-09,KQ,88200,381284988000
130580,나이스디앤비,2011-12-22,KQ,9920,153384000000
042420,네오위즈홀딩스,2000-06-27,KQ,47450,414944172100
033640,네패스,1999-12-14,KQ,34300,788624708400
065560,녹원씨엔아이,2003-07-01,KQ,5770,99593806250
020400,대동금속,1993-07-30,KQ,10700,34602451100
017650,대림제지,1994-11-07,KQ,11050,99900000000
336570,대신밸런스제8호스팩,2019-12-19,KQ,2675,15006750000
007680,대원,2017-12-01,KQ,9650,128682756180
054670,대한뉴팜,2002-02-26,KQ,11000,156468628000
100130,동국S&C,2009-08-31,KQ,5550,316572220000
094170,동운아나텍,2015-06-30,KQ,5930,104058835520
223250,드림씨아이에스,2020-05-22,KQ,10650,60551877800
060570,드림어스컴퍼니,2003-12-19,KQ,4880,274917360245
110990,디아이티,2018-08-07,KQ,10150,190890000000
109740,디에스케이,2009-09-23,KQ,8370,208648540520
131030,디에이치피코리아,2010-12-03,KQ,6900,114794043210
219550,디와이디대양,2015-07-22,KQ,4300,34565463380
263020,디케이앤디,2018-11-20,KQ,8840,68549073660
290550,디케이티,2018-12-21,KQ,12650,207429591600
042510,라온시큐어,2001-01-03,KQ,4615,179027033980
232680,라온테크,2021-06-17,KQ,27900,136869169500
069540,라이트론,2004-02-13,KQ,3885,101511318620
214260,라파스,2019-11-11,KQ,52900,450347398400
039980,리노스,2002-08-13,KQ,1350,58610104670
098120,마이크로컨텍솔,2008-09-23,KQ,7590,62844510960
038290,마크로젠,2000-02-22,KQ,29450,314501421850
140410,메지온,2012-01-20,KQ,161400,1436493248400
348030,모비릭스,2021-01-28,KQ,18950,174915200000
279600,미디어젠,2019-11-05,KQ,15600,73082583600
095500,미래나노텍,2007-10-01,KQ,4100,117715520965
353490,미래에셋대우스팩 5호,2020-08-28,KQ,2110,10626000000
