종목명,산업,섹터,종목코드
서연,경기관련소비재,자동차와부품,7860
엠에스오토텍,경기관련소비재,자동차와부품,123040
화신,경기관련소비재,자동차와부품,10690
우수AMS,경기관련소비재,자동차와부품,66590
인지컨트롤스,경기관련소비재,자동차와부품,23800
트루윈,경기관련소비재,자동차와부품,105550
삼기,경기관련소비재,자동차와부품,122350
이원컴포텍,경기관련소비재,자동차와부품,88290
우리산업,경기관련소비재,자동차와부품,215360
모트렉스,경기관련소비재,자동차와부품,118990
세원,경기관련소비재,자동차와부품,234100
동아화성,경기관련소비재,자동차와부품,41930
센트랄모텍,경기관련소비재,자동차와부품,308170
케이엔더블유,경기관련소비재,자동차와부품,105330
넥센,경기관련소비재,자동차와부품,5720
영화테크,경기관련소비재,자동차와부품,265560
피에이치에이,경기관련소비재,자동차와부품,43370
SNT홀딩스,경기관련소비재,자동차와부품,36530
대유플러스,경기관련소비재,자동차와부품,300
SNT중공업,경기관련소비재,자동차와부품,3570
HDC현대EP,경기관련소비재,자동차와부품,89470
모토닉,경기관련소비재,자동차와부품,9680
디아이씨,경기관련소비재,자동차와부품,92200
대우부품,경기관련소비재,자동차와부품,9320
아진산업,경기관련소비재,자동차와부품,13310
서연이화,경기관련소비재,자동차와부품,200880
유니크,경기관련소비재,자동차와부품,11320
대유에이텍,경기관련소비재,자동차와부품,2880
모베이스전자,경기관련소비재,자동차와부품,12860
계양전기,경기관련소비재,자동차와부품,12200
크린앤사이언스,경기관련소비재,자동차와부품,45520
엔브이에이치코리아,경기관련소비재,자동차와부품,67570
광진윈텍,경기관련소비재,자동차와부품,90150
유니테크노,경기관련소비재,자동차와부품,241690
유니온머티리얼,경기관련소비재,자동차와부품,47400
삼보모터스,경기관련소비재,자동차와부품,53700
삼성공조,경기관련소비재,자동차와부품,6660
인팩,경기관련소비재,자동차와부품,23810
에코플라스틱,경기관련소비재,자동차와부품,38110
덕양산업,경기관련소비재,자동차와부품,24900
동아타이어,경기관련소비재,자동차와부품,282690
두올,경기관련소비재,자동차와부품,16740
대성파인텍,경기관련소비재,자동차와부품,104040
경창산업,경기관련소비재,자동차와부품,24910
화승코퍼레이션,경기관련소비재,자동차와부품,13520
영화금속,경기관련소비재,자동차와부품,12280
코리아에프티,경기관련소비재,자동차와부품,123410
대원산업,경기관련소비재,자동차와부품,5710
오스템,경기관련소비재,자동차와부품,31510
현대공업,경기관련소비재,자동차와부품,170030
다이나믹디자인,경기관련소비재,자동차와부품,145210
한일단조,경기관련소비재,자동차와부품,24740
모베이스,경기관련소비재,자동차와부품,101330
화승알앤에이,경기관련소비재,자동차와부품,378850
지엠비코리아,경기관련소비재,자동차와부품,13870
삼원강재,경기관련소비재,자동차와부품,23000
한국프랜지,경기관련소비재,자동차와부품,10100
GH신소재,경기관련소비재,자동차와부품,130500
캐스텍코리아,경기관련소비재,자동차와부품,71850
대성엘텍,경기관련소비재,자동차와부품,25440
KR모터스,경기관련소비재,자동차와부품,40
우신시스템,경기관련소비재,자동차와부품,17370
오리엔트정공,경기관련소비재,자동차와부품,65500
티에이치엔,경기관련소비재,자동차와부품,19180
팬스타엔터프라이즈,경기관련소비재,자동차와부품,54300
세원정공,경기관련소비재,자동차와부품,21820
유성기업,경기관련소비재,자동차와부품,2920
화신정공,경기관련소비재,자동차와부품,126640
케이비아이동국실업,경기관련소비재,자동차와부품,1620
한국큐빅,경기관련소비재,자동차와부품,21650
구영테크,경기관련소비재,자동차와부품,53270
유라테크,경기관련소비재,자동차와부품,48430
상신브레이크,경기관련소비재,자동차와부품,41650
영신금속,경기관련소비재,자동차와부품,7530
핸즈코퍼레이션,경기관련소비재,자동차와부품,143210
새론오토모티브,경기관련소비재,자동차와부품,75180
평화산업,경기관련소비재,자동차와부품,90080
서연탑메탈,경기관련소비재,자동차와부품,19770
동양피스톤,경기관련소비재,자동차와부품,92780
SJM,경기관련소비재,자동차와부품,123700
에코캡,경기관련소비재,자동차와부품,128540
네오티스,경기관련소비재,자동차와부품,85910
동일고무벨트,경기관련소비재,자동차와부품,163560
동원금속,경기관련소비재,자동차와부품,18500
성창오토텍,경기관련소비재,자동차와부품,80470
솔루에타,경기관련소비재,자동차와부품,154040
풍강,경기관련소비재,자동차와부품,93380
평화홀딩스,경기관련소비재,자동차와부품,10770
SG글로벌,경기관련소비재,자동차와부품,1380
우리산업홀딩스,경기관련소비재,자동차와부품,72470
DRB동일,경기관련소비재,자동차와부품,4840
태양금속,경기관련소비재,자동차와부품,4100
부산주공,경기관련소비재,자동차와부품,5030
