종목코드,종목명,거래소,종가,시가총액,R1D,R1W,R1M,R3M,R6M,R1Y,PER,PBR,DIV
360140,KODEX 200롱코스닥150숏선물,ETF,10430,16700000000,1.9550342130987275,1.7064846416382284,0.5301204819277094,-4.574565416285448,-15.030549898167012,-3.604436229205177,,,
359090,엔에이치스팩17호,KQ,2380,16683800000,3.0303030303030276,-4.609218436873752,-1.2448132780082943,-23.472668810289388,-27.350427350427353,-17.959324370906582,0.0,0.0,0.0
038340,UCI,KQ,445,16641828315,,,,,,,0.0,0.63,0.0
237350,KODEX 코스피100,ETF,29945,16500000000,1.353866982568963,-0.6140059741121751,0.4191817572099188,-4.891218040336664,-8.954089388872,12.672611656695643,,,
139250,TIGER 200 에너지화학,ETF,18715,16100000000,0.9166891345376182,-2.322546972860129,-7.167658730158733,-7.052396324807553,-9.12842923039573,12.612070521692043,,,
292500,SOL KRX300,ETF,17875,16100000000,1.4760147601476037,-2.135231316725983,-1.270367301850317,-6.044678055190533,-8.87076217180729,12.47089913798527,,,
211560,TIGER 배당성장,ETF,18475,16100000000,2.0154610712313614,-1.8852894317578306,-4.81710458526533,-6.02746693794507,-5.763835756184643,17.938078518991386,,,
304760,HANARO KRX300,ETF,17840,16100000000,1.1911514463981865,-1.1086474501108667,-0.2516074923119893,-5.131613932464774,-7.803617571059429,13.370615149974574,,,
276000,TIGER 글로벌자원생산기업(합성 H),ETF,13315,16000000000,0.2635542168674787,-3.5843591600289604,-2.6681286549707584,1.4862804878048808,-4.070605187319886,21.2107419208011,,,
323940,케이비제18호스팩,KQ,2035,15917770000,-0.2450980392156854,-0.4889975550122272,-1.2135922330097082,-6.436781609195408,-6.65137614678899,1.750000000000007,0.0,0.0,0.0
000885,한화우,KS,33050,15840666700,-0.7507507507507505,-5.300859598853869,-14.155844155844155,-24.022988505747122,-29.680851063829785,-32.82520325203252,0.0,0.0,2.27
272910,KINDEX 중장기국공채액티브,ETF,100415,15800000000,-0.009957679860594926,0.7121006970563171,1.2247983870967705,-0.7943172724488523,0.07674061671549826,-0.853088991794948,,,
397500,대신밸런스제11호스팩,KQ,2070,15752700000,,,,,,,0.0,0.0,0.0
391710,엔에이치스팩21호,KQ,2110,15740600000,0.4761904761904745,-0.23640661938534313,0.23752969121140222,,,,0.0,0.0,0.0
380320,삼성머스트스팩5호,KQ,3225,15512250000,2.0569620253164667,-12.601626016260159,-21.34146341463414,-40.825688073394495,,,0.0,0.0,0.0
138530,TIGER LG그룹+펀더멘털,ETF,10170,15500000000,1.1437095972153255,-2.9580152671755733,-4.551853589863919,-7.587460245343025,-14.645404951741503,14.785553047404054,,,
280320,KINDEX 미국IT인터넷S&P(합성 H),ETF,19320,15500000000,-3.616862060364179,-6.756756756756754,-8.67407232332782,-10.05586592178771,-1.7543859649122862,9.866363377878873,,,
241180,TIGER 일본니케이225,ETF,17160,15400000000,-1.4925373134328401,-5.114735969035111,-5.114735969035111,-1.661891117478509,-0.46403712296984034,3.9873954672160927,,,
393360,신한제8호스팩,KQ,2090,15361500000,0.0,-0.23866348448687846,0.0,,,,0.0,0.0,0.0
316670,KOSEF 코스닥150,ETF,7195,15300000000,-0.2772002772002735,-2.9014844804318485,-1.4383561643835585,-3.2930107526881747,2.7857142857142803,10.60722521137587,,,
245350,TIGER 유로스탁스배당30,ETF,12560,15100000000,-0.5542359461599422,-4.012227741688957,-4.776345716451857,-5.634861006761838,-1.6444792482380621,20.92038124578801,,,
336060,유안타제5호스팩,KQ,2535,15032550000,,,,,,,0.0,0.0,0.0
336570,대신밸런스제8호스팩,KQ,2675,15006750000,,,,,,,0.0,0.0,0.0
225050,TIGER 유로스탁스레버리지(합성 H),ETF,9975,15000000000,0.7575757575757569,-8.402203856749313,-8.149171270718236,-4.316546762589923,1.8896833503575072,36.084583901773534,,,
253160,ARIRANG 200선물인버스2X,ETF,4515,14900000000,-4.038257173219984,0.2219755826859071,-1.7410228509249226,8.143712574850293,16.365979381443307,-31.068702290076335,,,
401590,HANARO 글로벌탄소배출권선물ICE(합성),ETF,11425,14900000000,0.17536168347216385,3.067207938655847,14.47895791583167,,,,,,
331910,KOSEF Fn중소형,ETF,22555,14900000000,1.8054615211013259,-4.326617179215275,-8.850272782380275,-13.449731389102071,-14.337257880744403,22.80845039747359,,,
182490,TIGER 단기선진하이일드(합성 H),ETF,12430,14900000000,0.36334275333063104,-0.6394884092725817,-1.1137629276054106,-0.9956192751891635,0.08051529790660261,3.886335144170494,,,
367740,HANARO Fn5G산업,ETF,12975,14900000000,0.07713073659854075,-2.6266416510318913,3.427660422479084,-0.23068050749711633,-0.23068050749711633,23.12583032833555,,,
183700,KBSTAR 채권혼합,ETF,62250,14900000000,0.41942248749797795,-0.01606167683906312,0.5248284214775856,-2.23792697290931,-3.555658842667908,3.5739243286413203,,,
176950,KODEX 국채선물10년인버스,ETF,47465,14800000000,0.2534586545569706,-1.2791181364392723,-2.325342113386153,2.251184834123232,-0.3986989822683862,3.4659400544959196,,,
368770,한국9호스팩,KQ,3060,14718600000,-1.449275362318836,-4.821150855365475,24.390243902439025,24.390243902439025,12.08791208791209,,0.0,0.0,0.0
223190,KODEX 200가치저변동,ETF,10535,14700000000,1.8366360560657213,-0.378250591016549,0.095011876484552,-3.2154340836012874,-9.570815450643778,17.10760337927968,,,
102960,KODEX 기계장비,ETF,5500,14600000000,1.2891344383057168,-5.335628227194489,-7.718120805369133,-7.094594594594595,-8.348608565239124,19.22826793843486,,,
253150,ARIRANG 200선물레버리지,ETF,41440,14500000000,3.071757244123874,-1.9519697148941195,-0.5638872225554925,-11.158752277843288,-18.99130094809891,24.95100256294287,,,
241390,KBSTAR V&S셀렉트밸류채권혼합,ETF,12105,14500000000,0.49813200498132204,-0.37037037037036535,-0.6565449322938011,-3.004807692307687,-3.6226114649681507,7.2377746279234545,,,
050540,한국코퍼레이션,KQ,2820,14434336380,,,,,,,0.0,3.4,0.0
315270,TIGER 200커뮤니케이션서비스,ETF,31355,14400000000,0.06382639221318431,-4.201038802322032,-1.6622236161204285,-6.122754491017968,-5.571450082818852,29.144528193088682,,,
271050,KODEX WTI원유선물인버스(H),ETF,8355,14400000000,2.8307692307692367,15.003441156228492,18.42664776754075,-3.6887608069164246,-8.136338647608577,-40.807651434644,,,
091220,TIGER 은행,ETF,7595,14300000000,1.5374331550802145,-4.164037854889591,-2.8772378516624064,-1.299545159194282,-6.40788662969809,17.91647259742275,,,
289250,TIGER MSCI KOREA ESG유니버설,ETF,11795,14200000000,1.9446845289541992,-0.5061155630535663,0.34028073160357053,-4.686868686868683,-8.565891472868215,14.1157120743034,,,
033790,스카이문스테크놀로지,KQ,829,14190075900,,,,,,,0.0,0.74,0.0
269420,KODEX S&P글로벌인프라(합성),ETF,12030,14000000000,-0.24875621890547706,-4.219745222929938,-5.312868949232586,-0.8244023083264662,3.796376186367567,11.6991643454039,,,
139240,TIGER 200 철강소재,ETF,8470,13700000000,2.2946859903381744,-1.4543339150668966,-6.512141280353201,-14.959839357429717,-18.98613103778096,28.00362702130874,,,
367480,유안타제8호스팩,KQ,2110,13693900000,-0.23640661938534313,-0.7058823529411784,0.0,-3.65296803652968,-2.7649769585253448,,0.0,0.0,0.0
361590,KBSTAR 코스피ex200,ETF,13640,13600000000,1.3372956909361022,-4.2134831460674205,-5.046989209885133,-7.273963290278718,-6.671228190215528,28.50951573393632,,,
390400,KODEX 미국스마트모빌리티S&P,ETF,9700,13600000000,-2.267002518891692,-7.310081223124698,-5.642023346303504,4.133118625872245,,,,,
342550,케이비제20호스팩,KQ,2090,13587090000,0.7228915662650603,-0.23866348448687846,-1.4150943396226467,-4.128440366972475,-3.686635944700456,4.239401496259343,0.0,0.0,0.0
402520,FOCUS 혁신기업액티브,ETF,9545,13400000000,0.20997375328084544,-2.452733776188043,-0.3133159268929542,,,,,,
360150,KODEX 코스닥150롱코스피200숏선물,ETF,8935,13400000000,-2.0285087719298267,-1.8131868131868178,-1.0520487264673362,3.0565167243367997,15.290322580645155,-0.7222222222222241,,,
219900,KINDEX 중국본토CSI300레버리지(합성),ETF,5550,13300000000,1.185050136736554,-2.887139107611547,1.2773722627737127,6.936416184971095,-6.801007556675065,11.334002006018062,,,
375760,HANARO 탄소효율그린뉴딜,ETF,9475,13300000000,1.5541264737406246,-0.7333682556312171,-0.15806111696522462,-4.964894684052156,-7.470703125,,,,
328380,미래에셋대우스팩3호,KQ,2050,13288100000,-0.24330900243308973,-0.7263922518159771,-2.3809523809523836,-5.747126436781613,-9.090909090909093,1.990049751243772,0.0,0.0,0.0
388220,하나금융19호스팩,KQ,2100,13251000000,-0.23752969121140222,0.0,-0.23752969121140222,,,,0.0,0.0,0.0
122090,ARIRANG 코스피50,ETF,27515,13200000000,1.5126360450101517,-0.5601734730755314,0.9354365370506157,-4.212358572671892,-8.053467000835424,14.755807648996955,,,
140950,파워 코스피100,ETF,29865,13100000000,1.0317997293640024,-1.1256414500910417,-0.28380634390651194,-5.744042922518544,-9.14207484027989,12.56218905472637,,,
365780,KINDEX 국고채10년,ETF,96645,13000000000,-0.1498088645521256,1.6780641767490723,2.503049265524737,-1.7935169190122946,0.7033447952485172,-2.2593270563011303,,,
308620,KODEX 미국채10년선물,ETF,11775,13000000000,-0.12722646310432406,0.12755102040815647,0.0,-0.7585335018963302,5.605381165919288,1.9480519480519431,,,
139660,KOSEF 미국달러선물인버스,ETF,10145,12900000000,0.24703557312253377,1.1970074812967635,0.5450941526263575,-0.7338551859099818,-5.977757182576459,-6.411439114391149,,,
367340,DB금융스팩8호,KQ,2105,12735250000,-0.23696682464454666,-0.47281323877068626,-0.47281323877068626,-3.661327231121281,-5.393258426966296,,0.0,0.0,0.0
195920,TIGER 일본TOPIX(합성 H),ETF,15845,12700000000,-0.4711055276381937,-5.4876230241574735,-6.048028461310406,-0.9377930603313489,-0.6894390473205947,8.490243067442659,,,
340440,한화플러스제1호스팩,KQ,2680,12622800000,1.7077798861480087,-11.40495867768595,0.5628517823639712,-15.45741324921136,-10.666666666666668,-4.42225392296719,0.0,0.0,0.0
229720,KODEX KTOP30,ETF,21070,12600000000,1.225078068700447,-0.9402914903620108,-1.9087523277467433,-7.8907103825136655,-8.451010210732136,12.613575628006423,,,
307010,KBSTAR KRX300레버리지,ETF,17975,12600000000,2.7730131503716393,-2.2034820457018545,-0.387919091160982,-10.794044665012404,-16.063506887695546,24.523727052303435,,,
395150,KODEX Fn웹툰&드라마,ETF,9630,12500000000,-1.2307692307692353,-7.13596914175506,-4.416873449131509,3.4371643394199847,,,,,
400580,SOL 유럽탄소배출권선물S&P(H),ETF,12290,12300000000,1.6542597187758412,5.312767780634098,28.55648535564854,,,,,,
391590,KINDEX 미국스팩&IPO INDXX,ETF,10135,12200000000,-2.501202501202504,-4.251299008030229,-7.358318098720296,1.859296482412054,,,,,
251590,ARIRANG 고배당저변동50,ETF,11065,12200000000,1.1888431641517982,-3.320227173438184,-4.980678402747962,-2.8107158541941124,-4.612068965517246,20.78375723174326,,,
101680,한국정밀기계,KQ,1440,12101760000,,,,,,,0.0,0.28,0.0
251600,ARIRANG 고배당주채권혼합,ETF,10955,12100000000,0.5968778696051391,-1.0388437217705548,-1.7488789237668168,-2.14381420276909,-2.795031055900621,7.507360157016674,,,
367460,유안타제7호스팩,KQ,2195,12072500000,1.1520737327188835,0.22831050228311334,0.9195402298850519,-2.2271714922049046,1.620370370370372,,0.0,0.0,0.0
387310,대신밸런스제10호스팩,KQ,2210,12066600000,0.0,-2.212389380530977,2.0785219399538146,,,,0.0,0.0,0.0
310080,KBSTAR 중국MSCI China(H),ETF,11405,12000000000,-0.47993019197207776,-3.8769490096923764,-4.199916001679971,-4.680317592979522,-21.856800274066458,-19.113475177304963,,,
292050,KBSTAR KRX300,ETF,18285,11900000000,1.5269294836202096,-0.9211595773503167,0.054719562243499276,-4.691164972634876,-7.767969735182845,14.131452468634919,,,
253290,KBSTAR 헬스케어채권혼합,ETF,11875,11900000000,0.2956081081081141,0.3803888419273038,-0.5860192549183796,-6.899255194041554,-4.001616814874698,-4.6567643516659984,,,
340350,SK6호스팩,KQ,2075,11848250000,0.24154589371980784,-0.7177033492822948,-1.4251781472684133,-6.320541760722342,-41.21813031161473,3.4912718204488824,0.0,0.0,0.0
200030,KODEX 미국S&P산업재(합성),ETF,20620,11800000000,-1.762744163887564,-6.591166477916199,-4.514934012502891,-3.689864549276034,0.07279786459597481,18.26785202179524,,,
399580,KBSTAR 글로벌클린에너지S&P,ETF,9840,11800000000,-1.6491754122938573,-3.8123167155425186,-8.719851576994431,,,,,,
279540,KODEX 최소변동성,ETF,11770,11800000000,1.0300429184549431,-2.0391177694548457,-2.6065370293752554,-4.308943089430894,-5.004035512510086,7.4984016805187625,,,
365590,엔에이치스팩18호,KQ,2545,11707000000,,,,,,,0.0,0.0,0.0
340120,하이제5호스팩,KQ,2300,11546000000,1.098901098901095,-2.127659574468088,7.476635514018692,4.308390022675734,-0.43290043290042934,14.143920595533487,0.0,0.0,0.0
332290,대신밸런스제7호스팩,KQ,2210,11503050000,0.454545454545463,-7.916666666666671,-7.916666666666671,-7.916666666666671,1.3761467889908285,8.5995085995086,0.0,0.0,0.0
104520,KOSEF 블루칩,ETF,9555,11500000000,1.757188498402562,-2.599388379204892,-4.688279301745634,-8.433157642549116,-11.772853185595567,10.029940119760482,,,
208470,SOL 선진국MSCI World(합성 H),ETF,18985,11400000000,-0.6541077969649423,-2.7905785970302133,-1.911650736243864,-0.576067033254779,4.802649737786369,20.272410516312966,,,
265690,KINDEX 러시아MSCI(합성),ETF,32600,11400000000,1.795472287275568,-0.8515815085158196,-10.45186100810328,1.906845889340425,13.135519694603515,38.48768054375531,,,
377400,하이제6호스팩,KQ,2095,11328712500,-0.23809523809523725,-2.10280373831776,-1.6431924882629123,-12.708333333333332,-39.09883720930233,,0.0,0.0,0.0
244620,KODEX 모멘텀Plus,ETF,12515,11300000000,0.4414125200641994,-3.321745847817692,-1.8046292663789765,-5.618401206636503,0.7243460764587484,12.737591207999287,,,
253230,KOSEF 200선물인버스2X,ETF,2255,11200000000,-3.2188841201716722,1.348314606741563,-0.6607929515418554,9.200968523002429,17.14285714285715,-30.828220858895705,,,
355150,교보10호스팩,KQ,2105,11198600000,0.23809523809523725,-1.4051522248243575,-0.47281323877068626,-4.318181818181821,-8.278867102396514,3.950617283950608,0.0,0.0,0.0
100910,KOSEF KRX100,ETF,6145,11100000000,1.0690789473684292,-1.1263073209975882,-0.08130081300813385,-5.751533742331283,-9.030347890451518,12.053245805981039,,,
402460,HANARO Fn K-메타버스MZ,ETF,11610,11000000000,-2.7638190954773822,-5.185790118415678,3.753351206434319,,,,,,
351340,IBKS제13호스팩,KQ,2115,10934550000,0.47505938242280443,-0.47058823529412264,-0.47058823529412264,-12.962962962962965,-2.9816513761467878,0.9546539379474916,0.0,0.0,0.0
261260,KODEX 미국달러선물인버스2X,ETF,8965,10900000000,0.3919372900335949,2.340182648401834,1.0140845070422566,-1.6995614035087758,-11.718365337272285,-12.621832358674467,,,
244670,KODEX 밸류Plus,ETF,9090,10900000000,2.9445073612684114,-3.860391327340029,-8.82647943831495,-14.04255319148936,-18.62130707251567,15.604731018695151,,,
381570,HANARO Fn친환경에너지,ETF,10385,10900000000,-1.563981042654028,-4.593477262287548,-2.8076743097800616,-0.9064885496183228,5.807437595517073,,,,
225030,TIGER 미국S&P500선물인버스(H),ETF,3665,10800000000,1.5235457063711877,3.3850493653032387,1.2430939226519389,-1.4784946236559127,-8.603491271820452,-22.104144527098835,,,
292750,ARIRANG KRX300,ETF,18010,10800000000,1.2935883014623117,-0.9895547003848315,-0.4972375690607711,-4.985491954629384,-7.900792636154441,13.900834809005813,,,
316300,KINDEX 싱가포르리츠,ETF,12005,10800000000,-0.5797101449275366,-4.304503786369073,-3.1073446327683607,-2.4776604386677503,3.5360068995256677,7.235372934345685,,,
402970,KINDEX 미국고배당S&P,ETF,9820,10800000000,-1.4056224899598346,-5.120772946859908,-3.251231527093601,,,,,,
388800,유진스팩7호,KQ,2140,10721400000,0.0,-0.696055684454755,-1.1547344110854452,,,,0.0,0.0,0.0
058220,아리온,KQ,275,10717917100,,,,,,,0.0,0.0,0.0
139290,TIGER 200 경기소비재,ETF,16755,10700000000,2.5711662075298403,-1.9602106495026361,-5.6056338028169,-9.236186348862407,-15.740507920543124,9.324024533472542,,,
248260,TIGER 일본TOPIX헬스케어(합성),ETF,10735,10700000000,0.3271028037383106,-4.27998216674097,-6.895056374674757,-9.256128486897719,-1.1054813450023016,-13.42741935483871,,,
353060,에이치엠씨제5호스팩,KQ,2075,10613625000,-0.24038461538461453,-1.4251781472684133,-1.4251781472684133,-3.488372093023251,-9.388646288209612,,0.0,0.0,0.0
403790,마이다스 KoreaStock액티브,ETF,20280,10600000000,1.858362631843291,-1.241782322863405,-0.8797653958944274,,,,,,
261070,TIGER 코스닥150바이오테크,ETF,10425,10600000000,0.8708272859216271,0.28860028860029363,-5.7414104882459345,-18.8715953307393,-17.458432304038006,-22.172452407614784,,,
353490,미래에셋대우스팩 5호,KQ,2090,10575400000,1.4563106796116498,-0.4761904761904745,-0.7125890736342066,-5.000000000000004,-7.929515418502198,-7.929515418502198,0.0,0.0,0.0
310870,한국제8호스팩,KQ,3080,10533600000,-6.525037936267076,-10.204081632653061,-4.643962848297212,-16.30434782608695,-30.988124579879006,-7.977293098296978,0.0,0.0,0.0
333050,신한제6호스팩,KQ,2055,10295550000,-0.4842615012106588,-0.7246376811594235,-3.5211267605633756,-16.463414634146346,-17.800000000000004,1.985111662531014,0.0,0.0,0.0
285000,KBSTAR 200IT,ETF,15940,10200000000,0.12562814070351536,-2.148557397176176,3.1381429957942464,-1.2697429544750727,-3.6275695284159637,22.67200246267509,,,
196030,KINDEX 일본TOPIX레버리지(H),ETF,20400,10200000000,-2.5787965616045794,-11.246465085925605,-11.342894393741854,-2.48565965583174,-1.4730741366819622,16.73819742489271,,,
352540,KODEX TSE일본리츠(H),ETF,12720,10200000000,-0.9731413001167755,-2.863688430698741,-3.526734926052333,-6.539309331373988,-1.1270890011659596,23.017408123791093,,,
367360,DB금융스팩9호,KQ,2100,10164000000,0.7194244604316502,-0.23752969121140222,-0.23752969121140222,-3.669724770642202,-7.079646017699115,,0.0,0.0,0.0
341160,하나금융15호스팩,KQ,2145,10102950000,1.4184397163120588,0.2336448598130758,0.2336448598130758,-5.298013245033117,-2.0547945205479423,4.126213592233019,0.0,0.0,0.0
342140,KINDEX 모닝스타싱가포르리츠채권혼합,ETF,10015,10000000000,-0.39781203381402674,-0.19930244145490716,0.5522088353413723,-2.3879142300194944,1.572008113590262,0.4010025062656686,,,
