종목코드,종목명,거래소,종가,시가총액,R1D,R1W,R1M,R3M,R6M,R1Y,V1D,V1W,V1M,V3M,V6M,V1Y,PER,PBR,DIV
321550,티움바이오,KQ,19250,458572075500,0.5221932114882533,6.944444444444442,0.7853403141361293,-16.846652267818573,3.4946236559139754,28.76254180602007,21.33421072289516,38.95483451245268,50.38056854243646,45.37187755046045,45.68731190758217,54.99666581238277,0.0,5.55,0.0
048910,대원미디어,KQ,36550,458502581700,0.136986301369868,6.095791001451389,1.5277777777777724,0.5502063273727709,1.810584958217265,445.5223880597015,72.46640953550242,60.13428925069928,147.66145024641392,93.50563206381243,76.92896065654357,85.14946415097309,107.8125,5.46,0.0
251340,KODEX 코스닥150선물인버스,ETF,4230,457700000000,-2.196531791907519,-0.8206330597889777,2.5454545454545396,-1.969872537659323,-3.534777651083243,-23.852385238523855,14.483132429803087,21.51383613284733,27.028823947752098,21.367926997480982,19.95825768051714,23.34454583907382,,,
339770,교촌에프앤비,KS,18300,457180482000,0.0,0.0,-6.153846153846154,-12.440191387559807,-10.948905109489049,,14.162523095300045,14.145765289967633,26.397373639110793,27.182559245428877,25.151649827385416,30.469644082324614,16.53125,2.98,1.09
091810,티웨이항공,KS,4135,455112400875,-0.6009615384615419,3.8944723618090427,-3.725261932479629,9.391534391534396,54.29104477611941,91.96843082636954,36.47836818226002,35.835825840048386,30.73618905726415,39.96214840767338,56.736703926637645,56.89119065234526,0.0,3.9,0.0
002990,금호건설,KS,12300,452428961400,2.9288702928870203,0.8196721311475308,-6.106870229007633,-8.888888888888891,23.0,74.22096317280453,23.928829066599317,31.748320075044965,26.70137934876936,31.768339890430173,36.28790852177343,43.33857860944176,16.59375,1.16,4.07
011040,경동제약,KQ,14650,452300860200,1.384083044982698,-11.746987951807231,37.5586854460094,40.86538461538463,38.20754716981132,43.627450980392155,95.43096240115776,74.17349852798122,131.4477148900984,78.87025695423277,57.90017871697459,48.25848312152919,28.84375,1.72,3.41
317330,덕산테코피아,KQ,24500,451165857400,0.0,-7.372400756143671,-17.92294807370184,-4.669260700389099,24.0506329113924,50.76923076923077,25.629832330190293,26.13098014247505,62.348420131092055,59.78685374635957,52.33004734624029,48.27194558550179,35.25,2.86,0.0
099320,쎄트렉아이,KQ,49550,451100387550,-1.294820717131473,-14.568965517241384,-21.473851030110936,-9.580291970802923,-10.881294964028775,105.60165975103732,13.108389121429262,49.1219381551932,54.47986903545743,42.25911896311311,39.65950301137056,59.4737342108132,29.953125,4.93,0.69
001390,KG케미칼,KS,32450,450648120000,0.9331259720062102,-3.13432835820896,-2.259036144578308,-7.8125,16.30824372759856,72.60638297872339,16.190427350745704,20.20483510105587,46.041150894508895,42.301738836380785,43.58952119661474,43.08147492660055,9.65625,1.1,1.23
024720,한국콜마홀딩스,KS,24200,448627763850,0.6237006237006293,0.6237006237006293,5.446623093681913,-16.117850953206236,-19.198664440734557,-7.101727447216888,23.666781355833084,17.690156379939992,31.857103345653073,30.953433038210175,28.674211634473703,30.245350129638698,3.94921875,0.81,0.85
